hjd,camera,mag,mag_err,flux,flux_err
2457004.92252,ba,11.497,0.02,98.088,1.805
2457858.46447,be,11.462,0.02,99.777,1.836
2457040.84468,ba,12.108,0.02,55.866,1.028
2457277.86599,be,11.488,0.02,97.404,1.792
2456889.10041,ba,11.456,0.02,101.858,1.874
2457837.52622,be,11.464,0.02,99.61,1.833
2457078.78129,ba,11.449,0.02,102.48,1.886
2457832.54307,be,11.437,0.02,102.078,1.878
2456864.90322,be,12.656,0.02,33.229,0.611
2456897.09608,ba,11.497,0.02,98.102,1.805
2457445.53105,be,11.463,0.02,99.669,1.834
2456594.07574,ba,11.479,0.02,99.716,1.835
2458371.83519,be,11.565,0.02,90.804,1.671
2457013.88099,ba,11.516,0.02,96.362,1.773
2457329.64573,be,11.445,0.02,101.365,1.865
2458324.91022,be,11.448,0.02,101.097,1.86
2457943.93273,be,11.493,0.02,96.977,1.784
2457983.84931,be,12.582,0.02,35.578,0.655
2456676.8312,ba,11.44,0.02,103.351,1.902
2457121.4826,be,11.466,0.02,99.417,1.829
2457068.56754,be,11.762,0.02,75.671,1.392
2457684.768,be,11.999,0.02,60.861,1.12
2457350.70211,be,11.479,0.02,98.245,1.808
2456914.08012,ba,11.58,0.02,90.814,1.671
2457379.59669,be,11.792,0.02,73.613,1.354
2457030.63466,be,11.439,0.02,101.907,1.875
2457282.76935,be,11.601,0.02,87.778,1.615
2457985.86089,be,12.03,0.02,59.133,1.088
2457418.67057,be,11.433,0.02,102.525,1.886
2456597.98204,ba,11.471,0.02,100.418,1.848
2458160.633,be,11.614,0.02,86.796,1.597
2456951.75359,be,11.469,0.02,99.18,1.825
2456889.82702,be,11.717,0.02,78.915,1.452
2457375.54385,be,11.477,0.02,98.404,1.811
2456894.0858,ba,11.47,0.02,100.511,1.849
2457667.78136,be,11.905,0.02,66.357,1.221
2457218.93524,be,11.445,0.02,101.375,1.865
2458212.49726,be,11.497,0.02,96.613,1.778
2457383.78385,be,11.471,0.02,98.927,1.82
2457970.87389,be,12.114,0.02,54.764,1.008
2457845.5027,be,11.48,0.02,98.151,1.806
2457427.66492,be,11.471,0.02,98.941,1.821
2457634.81765,be,11.458,0.02,100.172,1.843
2456983.93515,ba,11.459,0.02,101.562,1.869
2457384.71246,be,11.57,0.02,90.377,1.663
2457035.63245,be,11.476,0.02,98.479,1.812
2457026.64264,be,11.458,0.02,100.149,1.843
2457044.84937,ba,11.672,0.02,83.485,1.536
2457853.48011,be,11.468,0.02,99.221,1.826
2458336.90364,be,11.469,0.02,99.116,1.824
2457441.5975,be,11.427,0.02,103.027,1.896
2457843.50931,be,11.466,0.02,99.461,1.83
2457690.67444,be,12.719,0.02,31.369,0.577
2458209.5038,be,11.502,0.02,96.222,1.77
2457099.52961,be,11.517,0.02,94.87,1.746
2457413.7043,be,11.46,0.02,99.969,1.839
2456986.94951,ba,11.461,0.02,101.349,1.865
2457788.77122,ba,11.455,0.02,101.897,1.875
2457466.54702,be,11.525,0.02,94.155,1.732
2456878.8749,be,12.028,0.02,59.268,1.091
2457076.56144,be,12.613,0.02,34.556,0.636
2456923.04321,ba,11.595,0.02,89.561,1.648
2457348.70856,be,11.48,0.02,98.179,1.806
2458419.00287,ba,11.655,0.02,84.753,1.559
2456532.07643,ba,11.931,0.02,65.73,1.209
2457036.84981,ba,12.626,0.02,34.674,0.638
2457802.78594,ba,11.462,0.02,101.287,1.864
2457252.84529,be,11.484,0.02,97.822,1.8
2457333.81498,be,11.471,0.02,98.938,1.82
2457674.95169,ba,11.473,0.02,100.242,1.844
2456891.84492,be,11.519,0.02,94.697,1.742
2458045.68925,be,11.471,0.02,98.937,1.82
2457226.8957,be,11.466,0.02,99.446,1.83
2457407.65059,be,11.476,0.02,98.51,1.813
2457481.49932,be,11.597,0.02,88.112,1.621
2457374.81118,be,11.5,0.02,96.404,1.774
2457477.50564,be,11.563,0.02,90.892,1.672
2457593.91535,be,11.483,0.02,97.908,1.802
2457221.92625,be,11.442,0.02,101.669,1.871
2457746.93964,ba,11.493,0.02,98.436,1.811
2457773.6267,be,11.563,0.02,90.953,1.674
2457447.60374,be,11.464,0.02,99.628,1.833
2458415.02641,ba,11.637,0.02,86.226,1.587
2458167.5499,be,11.478,0.02,98.335,1.809
2457362.75948,be,12.995,0.02,24.309,0.447
2458186.529,be,12.637,0.02,33.811,0.622
2457401.73864,be,11.432,0.02,102.571,1.887
2457288.77823,be,11.552,0.02,91.848,1.69
2457835.53224,be,11.465,0.02,99.545,1.832
2457107.50838,be,11.492,0.02,97.038,1.786
2456310.86944,ba,11.556,0.02,92.896,1.709
2458048.69533,be,11.449,0.02,100.972,1.858
2458086.63328,be,11.551,0.02,91.966,1.692
2457767.82489,ba,11.479,0.02,99.665,1.834
2457378.5842,be,11.607,0.02,87.343,1.607
2458109.71803,be,11.463,0.02,99.695,1.834
2458033.7442,be,11.429,0.02,102.854,1.893
2457012.89844,ba,11.575,0.02,91.254,1.679
2457291.81351,be,11.482,0.02,97.998,1.803
2458041.79322,be,11.467,0.02,99.295,1.827
2456932.97958,ba,11.597,0.02,89.462,1.646
2457959.90315,be,11.613,0.02,86.838,1.598
2456962.07045,ba,11.452,0.02,102.203,1.881
2458313.91902,be,11.454,0.02,100.531,1.85
2457697.02284,ba,11.454,0.02,102.04,1.878
2457436.63735,be,11.482,0.02,97.987,1.803
2456998.90612,ba,11.483,0.02,99.357,1.828
2457357.66122,be,11.47,0.02,99.02,1.822
2457755.63029,be,11.458,0.02,100.21,1.844
2457663.84669,be,12.786,0.02,29.473,0.542
2457083.54507,be,12.805,0.02,28.961,0.533
2458153.67555,be,11.624,0.02,86.002,1.582
2458190.5761,be,11.862,0.02,69.01,1.27
2457277.05301,ba,11.445,0.02,102.879,1.893
2456920.82355,be,11.451,0.02,100.766,1.854
2456855.91771,be,11.768,0.02,75.293,1.385
2458383.01672,ba,11.508,0.02,97.048,1.786
2457728.6004,be,11.475,0.02,98.622,1.815
2457071.75278,ba,11.483,0.02,99.306,1.827
2456570.98216,ba,11.423,0.02,104.938,1.931
2456900.07683,ba,11.458,0.02,101.623,1.87
2458378.10978,ba,11.392,0.02,108.02,1.988
2457761.84152,ba,11.452,0.02,102.224,1.881
2458018.75084,be,11.522,0.02,94.431,1.738
2457671.70432,be,11.512,0.02,95.288,1.753
2458436.02918,ba,11.759,0.02,77.021,1.417
2457266.84794,be,11.585,0.02,89.138,1.64
2457376.80402,be,11.503,0.02,96.138,1.769
2456920.0575,ba,11.601,0.02,89.119,1.64
2457416.69525,be,11.453,0.02,100.589,1.851
2457256.82763,be,11.478,0.02,98.319,1.809
2456979.94666,ba,11.459,0.02,101.584,1.869
2457403.71459,be,11.452,0.02,100.701,1.853
2457763.60211,be,11.459,0.02,100.095,1.842
2457264.80969,be,11.476,0.02,98.474,1.812
