hjd,camera,mag,mag_err,flux,flux_err
2457380.7527,bc,11.699,0.02,80.691,1.485
2457330.88239,bd,11.283,0.02,117.648,2.165
2457236.0201,bc,11.664,0.02,83.344,1.534
2457898.11331,bd,11.184,0.02,128.86,2.371
2457935.0203,bc,11.65,0.02,84.407,1.553
2457744.79459,bd,10.975,0.02,156.34,2.877
2457688.89249,bd,11.301,0.02,115.789,2.131
2457612.90579,bd,11.492,0.02,97.05,1.786
2457290.85647,bd,11.02,0.02,149.981,2.76
2457043.70467,bd,11.533,0.02,93.459,1.72
2457675.70232,bc,11.281,0.02,118.508,2.181
2457686.93506,bd,11.646,0.02,84.22,1.55
2458012.95301,bc,11.583,0.02,89.794,1.652
2458034.89029,bd,11.594,0.02,88.369,1.626
2458029.83262,bd,11.42,0.02,103.708,1.908
2458342.988,bd,11.037,0.02,147.617,2.716
2458032.9609,bc,11.021,0.02,150.647,2.772
2457612.93562,bc,11.479,0.02,98.813,1.818
2458063.80858,bc,11.105,0.02,139.389,2.565
2457756.71834,bc,11.656,0.02,83.936,1.544
2458451.78408,bd,10.915,0.02,165.192,3.04
2457369.80152,bd,11.144,0.02,133.798,2.462
2457176.09183,bd,11.656,0.02,83.495,1.536
2457229.9587,bd,11.124,0.02,136.252,2.507
2457609.00531,bc,10.974,0.02,157.351,2.895
2457656.83256,bc,11.161,0.02,132.385,2.436
2458070.74942,bc,11.761,0.02,76.219,1.402
2457183.08909,bd,11.461,0.02,99.933,1.839
2457676.78229,bd,11.539,0.02,92.993,1.711
2457040.71519,bd,11.681,0.02,81.554,1.501
2457222.01628,bc,11.386,0.02,107.588,1.98
2458431.89385,bd,11.535,0.02,93.281,1.716
2457037.72261,bd,11.039,0.02,147.362,2.711
2457357.76305,bc,11.49,0.02,97.791,1.799
2457392.71479,bc,11.491,0.02,97.709,1.798
2457715.80598,bd,11.482,0.02,97.998,1.803
2457915.10502,bc,11.013,0.02,151.761,2.792
2457961.04061,bd,11.662,0.02,82.97,1.527
2457707.88753,bd,11.652,0.02,83.77,1.541
2457180.09464,bd,11.714,0.02,79.104,1.456
2457008.77829,bd,11.54,0.02,92.898,1.709
2457602.03865,bc,11.416,0.02,104.728,1.927
2457243.97796,bd,11.398,0.02,105.815,1.947
2458287.04804,bd,11.347,0.02,110.921,2.041
2458110.75138,bd,11.268,0.02,119.286,2.195
2457207.06183,bc,11.356,0.02,110.678,2.036
2457997.00862,bc,11.595,0.02,88.811,1.634
2457358.7675,bd,11.673,0.02,82.149,1.512
2457995.82674,bc,11.634,0.02,85.628,1.576
2457981.02512,bc,11.192,0.02,128.667,2.367
2457042.70431,bd,11.272,0.02,118.926,2.188
2457948.08864,bc,11.69,0.02,81.368,1.497
2457958.96209,bc,11.086,0.02,141.854,2.61
2457745.78826,bd,11.347,0.02,110.966,2.042
2457721.85936,bd,11.638,0.02,84.895,1.562
2457541.10013,bd,11.457,0.02,100.258,1.845
2457391.75676,bd,11.205,0.02,126.486,2.327
2457622.04824,bc,11.016,0.02,151.268,2.783
2457643.83592,bd,11.017,0.02,150.358,2.767
2457900.09828,bc,11.677,0.02,82.336,1.515
2457332.86529,bc,11.718,0.02,79.26,1.458
2457303.96267,bd,11.013,0.02,150.93,2.777
2457610.10697,bd,11.239,0.02,122.495,2.254
2457244.07317,bc,11.509,0.02,96.129,1.769
2457251.894,bc,11.167,0.02,131.627,2.422
2458012.03325,bc,11.347,0.02,111.557,2.053
2457998.81922,bc,11.31,0.02,115.418,2.124
2457598.0439,bc,11.524,0.02,94.773,1.744
2457894.10752,bc,11.323,0.02,114.104,2.1
2458059.8412,bd,11.261,0.02,120.074,2.209
2457747.78429,bd,11.702,0.02,79.969,1.471
2457881.12286,bc,11.336,0.02,112.671,2.073
2458010.82159,bd,10.902,0.02,167.131,3.075
2457047.7091,bd,11.451,0.02,100.839,1.855
2457596.96575,bc,11.22,0.02,125.372,2.307
2457695.87836,bc,11.48,0.02,98.705,1.816
2458116.78704,bd,11.322,0.02,113.538,2.089
2457927.07254,bc,11.631,0.02,85.861,1.58
2457706.84074,bc,11.446,0.02,101.88,1.875
2457559.09953,bc,11.616,0.02,87.086,1.602
2458019.05191,bd,11.301,0.02,115.781,2.13
2457297.87689,bc,11.704,0.02,80.291,1.477
2457676.84375,bc,11.583,0.02,89.785,1.652
2457164.11121,bc,10.987,0.02,155.371,2.859
