hjd,camera,mag,mag_err,flux,flux_err
2457712.5563,bf,12.922,0.02,25.758,0.474
2458329.76728,be,12.539,0.02,37.023,0.681
2457911.84316,be,12.25,0.02,48.318,0.889
2457152.92175,bf,12.288,0.02,46.194,0.85
2457778.57199,bf,12.212,0.02,49.578,0.912
2457031.54684,be,12.212,0.02,50.018,0.92
2458037.57086,be,12.298,0.02,46.21,0.85
2458043.4962,bf,12.278,0.02,46.622,0.858
2458032.67933,be,12.242,0.02,48.65,0.895
2456837.85287,bf,12.297,0.02,45.827,0.843
2457974.72632,be,12.303,0.02,45.983,0.846
2457416.52329,bf,12.273,0.02,46.838,0.862
2458105.55772,bf,12.25,0.02,47.859,0.881
2456931.74564,be,12.24,0.02,48.721,0.896
2458352.66802,be,12.242,0.02,48.675,0.896
2458104.63428,be,12.292,0.02,46.482,0.855
2456895.74282,be,12.267,0.02,47.56,0.875
2457964.7291,bf,12.271,0.02,46.931,0.864
2457651.63155,bf,12.245,0.02,48.064,0.884
2458010.6798,be,12.268,0.02,47.489,0.874
2457182.84538,be,12.223,0.02,49.496,0.911
2456874.77129,be,12.218,0.02,49.754,0.915
2457933.78286,be,12.265,0.02,47.617,0.876
2457958.7455,bf,12.374,0.02,42.695,0.786
2457327.6924,be,12.296,0.02,46.303,0.852
2457006.575,bf,12.287,0.02,46.235,0.851
2457401.57062,be,12.29,0.02,46.551,0.857
2457381.63706,be,12.266,0.02,47.6,0.876
2457768.59907,bf,12.263,0.02,47.3,0.87
2456942.6406,be,12.23,0.02,49.175,0.905
2457277.64597,be,12.235,0.02,48.953,0.901
2457014.54681,be,12.253,0.02,48.165,0.886
2457767.54387,be,12.254,0.02,48.115,0.885
2458035.84745,bf,12.217,0.02,49.308,0.907
2457728.57637,bf,13.215,0.02228,19.669,0.403
2457408.554,be,12.268,0.02,47.513,0.874
2457758.63285,bf,12.307,0.02,45.425,0.836
2457035.56597,be,12.699,0.02,31.932,0.588
2458084.71209,be,12.225,0.02,49.442,0.91
2457740.62082,be,12.231,0.02,49.153,0.904
2457197.81621,bf,12.285,0.02,46.347,0.853
2456846.83705,bf,12.271,0.02,46.93,0.864
2457687.57151,bf,12.278,0.02,46.615,0.858
2457009.55115,be,12.213,0.02,49.981,0.92
2458119.61505,be,12.243,0.02,48.601,0.894
2458096.63518,bf,12.788,0.02,29.15,0.536
2456846.82222,be,12.267,0.02,47.566,0.875
2457763.56443,be,12.285,0.02,46.751,0.86
2457903.93146,bf,12.239,0.02,48.32,0.889
2457980.76253,be,12.292,0.02,46.446,0.855
2456950.65124,bf,12.267,0.02,47.127,0.867
2458382.69798,bf,12.258,0.02,47.483,0.874
2458103.68047,bf,12.242,0.02,48.229,0.887
2457771.59037,bf,12.286,0.02,46.286,0.852
2456973.60835,bf,12.361,0.02,43.201,0.795
2457396.56423,bf,12.28,0.02,46.56,0.857
2457398.61051,bf,12.686,0.02,32.014,0.589
2456885.75471,be,12.226,0.02,49.379,0.909
2457691.52743,bf,12.305,0.02,45.502,0.837
2458368.69463,be,12.224,0.02,49.458,0.91
2457943.78582,bf,12.242,0.02,48.22,0.887
2457292.75513,be,12.344,0.02,44.274,0.815
2457318.62195,be,12.224,0.02,49.463,0.91
2458358.72487,be,12.269,0.02,47.463,0.873
2457005.56525,be,12.278,0.02,47.064,0.866
