hjd,camera,mag,mag_err,flux,flux_err
2457324.733,bc,13.732,0.02212,13.23,0.269
2458063.98734,bd,13.179,0.02247,20.524,0.424
2457414.76221,bd,13.164,0.02255,20.82,0.432
2457009.76559,bd,13.208,0.02235,19.976,0.411
2457942.04246,bd,13.823,0.02278,11.341,0.238
2457696.9569,bd,13.147,0.02263,21.148,0.44
2457758.72333,bc,13.184,0.02285,21.911,0.461
2457207.00328,bc,13.483,0.02187,16.641,0.335
2457674.96941,bc,13.219,0.02265,21.219,0.442
2457321.9751,bc,13.197,0.02277,21.649,0.454
2457895.11699,bc,13.227,0.02261,21.062,0.438
2458070.69084,bc,13.157,0.02302,22.464,0.476
2457231.99419,bd,14.733,0.03394,4.904,0.153
2457715.74782,bd,13.142,0.02266,21.231,0.443
2458097.84669,bd,13.284,0.02209,18.636,0.379
2457244.03001,bc,13.139,0.02314,22.851,0.486
2458037.91814,bc,13.188,0.02282,21.825,0.458
2457007.7357,bc,13.186,0.02284,21.869,0.459
2457323.80253,bc,13.175,0.0229,22.093,0.465
2457735.89282,bd,13.155,0.02259,20.976,0.436
2458003.91351,bc,13.143,0.02311,22.754,0.484
2457969.90787,bc,13.203,0.02274,21.534,0.45
2457526.11186,bc,13.154,0.02303,22.523,0.477
2458062.96449,bd,13.137,0.02268,21.345,0.445
2458061.92296,bd,13.124,0.02276,21.601,0.452
2457940.05044,bd,13.221,0.0223,19.756,0.405
2457423.74235,bd,13.154,0.0226,21.001,0.437
2457627.00219,bc,13.213,0.02268,21.338,0.445
2457231.93199,bc,14.412,0.02734,7.069,0.178
2457562.06435,bc,13.19,0.02281,21.787,0.457
2457721.8664,bc,13.158,0.02301,22.449,0.475
2457886.12154,bc,13.084,0.02354,24.036,0.521
2457969.96768,bd,13.194,0.02241,20.239,0.417
2457181.11628,bd,13.162,0.02256,20.854,0.433
2457263.01276,bc,13.152,0.02305,22.575,0.479
2457291.04471,bc,13.198,0.02277,21.627,0.453
2457999.10549,bc,13.157,0.02302,22.473,0.476
2458023.82818,bc,13.161,0.02299,22.375,0.473
2457368.7958,bd,13.225,0.02228,19.678,0.403
2457532.10535,bc,13.123,0.02325,23.17,0.496
2457553.10511,bd,14.055,0.02435,9.158,0.205
2457333.89972,bd,13.176,0.02249,20.59,0.426
2457694.94626,bc,13.254,0.02248,20.538,0.425
2457972.95212,bc,13.16,0.023,22.405,0.474
2457342.89052,bc,13.162,0.02298,22.363,0.473
2457614.96308,bd,13.158,0.02257,20.929,0.435
2457579.10639,bd,13.159,0.02257,20.902,0.434
2458020.96957,bc,13.185,0.02284,21.903,0.46
2457049.73679,bc,13.167,0.02295,22.252,0.47
2457178.08482,bc,13.174,0.02291,22.12,0.466
2458066.70508,bc,13.128,0.02321,23.072,0.493
2458028.90391,bc,13.148,0.02307,22.66,0.481
2457319.97233,bd,13.187,0.02244,20.385,0.421
2457012.79465,bd,13.179,0.02247,20.517,0.424
2457272.94593,bc,13.175,0.0229,22.087,0.465
2457329.92069,bc,14.025,0.02354,10.096,0.219
2457737.78909,bc,13.181,0.02287,21.973,0.462
2457408.7178,bc,13.164,0.02297,22.315,0.472
2457917.10125,bd,14.106,0.0248,8.738,0.199
2458038.79907,bc,13.371,0.02206,18.449,0.374
2457305.00619,bd,13.175,0.02249,20.606,0.426
2458017.94061,bd,13.126,0.02274,21.562,0.451
2457231.03683,bd,13.184,0.02245,20.424,0.422
2457959.00951,bc,13.147,0.02308,22.665,0.481
2457549.05384,bc,13.141,0.02312,22.792,0.485
2457978.93217,bc,13.166,0.02296,22.286,0.471
2457008.78131,bd,13.344,0.02195,17.638,0.356
2458023.91455,bd,13.166,0.02254,20.781,0.431
2457191.10304,bd,13.207,0.02235,20.007,0.411
2457240.97782,bc,13.158,0.02301,22.442,0.475
2458013.98872,bd,13.151,0.02261,21.065,0.438
2457652.81761,bc,13.134,0.02317,22.957,0.489
2457286.95162,bd,13.165,0.02254,20.796,0.431
2457372.82843,bc,13.163,0.02298,22.34,0.472
2457680.89074,bc,13.158,0.02301,22.453,0.475
2457221.99862,bc,14.315,0.02616,7.729,0.186
2457189.10662,bd,13.164,0.02255,20.82,0.432
2457668.9577,bc,13.151,0.02305,22.583,0.479
2457319.89657,bc,13.772,0.02224,12.751,0.261
2457194.09163,bd,13.227,0.02227,19.645,0.403
2457317.87284,bc,13.179,0.02288,22.009,0.463
2457272.00742,bc,13.406,0.02198,17.863,0.361
2457384.71602,bc,13.156,0.02302,22.482,0.476
2457309.85395,bd,13.848,0.02291,11.08,0.234
2458019.90159,bd,14.872,0.03702,4.317,0.147
2458002.91218,bd,13.145,0.02264,21.184,0.441
2457574.03125,bc,13.128,0.02321,23.082,0.493
2457694.01093,bd,13.154,0.0226,21.002,0.437
2457982.9357,bc,13.125,0.02323,23.147,0.495
