hjd,camera,mag,mag_err,flux,flux_err
2457686.87715,bg,12.534,0.02,37.184,0.684
2458135.63438,bg,12.097,0.02,55.588,1.023
2458069.81542,bg,11.542,0.02,92.674,1.705
2458103.77093,bg,12.493,0.02,38.625,0.711
2457477.65933,bg,11.549,0.02,92.138,1.695
2458166.60364,bg,11.995,0.02,61.081,1.124
2458040.81123,bg,12.283,0.02,46.849,0.862
2458148.78291,bg,12.202,0.02,50.464,0.929
2458210.64224,bg,12.413,0.02,41.568,0.765
2458194.69965,bg,12.115,0.02,54.669,1.006
2457479.65459,bg,11.941,0.02,64.222,1.182
2458193.7046,bg,11.992,0.02,61.223,1.126
2458153.56171,bg,12.014,0.02,60.025,1.104
2457829.63676,bg,11.954,0.02,63.413,1.167
2457720.7301,bg,11.834,0.02,70.872,1.304
2457865.51206,bg,12.283,0.02,46.86,0.862
2458150.72093,bg,11.598,0.02,88.008,1.619
2457765.71551,bg,12.311,0.02,45.669,0.84
2458149.73559,bg,11.606,0.02,87.363,1.607
2458111.82741,bg,11.919,0.02,65.528,1.206
2458139.63239,bg,11.974,0.02,62.261,1.146
2457651.8568,bg,11.536,0.02,93.231,1.715
2458170.72658,bg,12.458,0.02,39.86,0.733
2457741.84428,bg,12.586,0.02,35.446,0.652
2458147.74533,bg,12.292,0.02,46.465,0.855
2458092.76095,bg,12.481,0.02,39.053,0.719
2458151.67593,bg,11.849,0.02,69.844,1.285
2458145.57735,bg,12.591,0.02,35.285,0.649
2458142.56714,bg,12.306,0.02,45.878,0.844
2458376.87923,bg,12.275,0.02,47.187,0.868
2457426.70531,bg,12.026,0.02,59.348,1.092
2457763.5431,bg,12.071,0.02,56.969,1.048
2457758.61436,bg,12.172,0.02,51.911,0.955
2457447.74285,bg,12.278,0.02,47.062,0.866
2458225.61669,bg,12.574,0.02,35.851,0.66
2458224.61754,bg,12.461,0.02,39.753,0.731
2458161.54901,bg,12.306,0.02,45.881,0.844
2457663.82493,bg,12.248,0.02,48.364,0.89
2457994.90507,bg,12.336,0.02,44.63,0.821
2458055.75982,bg,11.466,0.02,99.443,1.83
2457669.85002,bg,12.119,0.02,54.479,1.002
2458358.90463,bg,12.421,0.02,41.26,0.759
2457805.7612,bg,12.255,0.02,48.076,0.885
2457448.73802,bg,12.285,0.02,46.779,0.861
2457436.68849,bg,11.487,0.02,97.567,1.795
2458162.59084,bg,12.074,0.02,56.808,1.045
2458197.69443,bg,12.492,0.02,38.647,0.711
2457778.64571,bg,12.237,0.02,48.9,0.9
2457439.76522,bg,12.003,0.02,60.635,1.116
2458199.68871,bg,12.595,0.02,35.148,0.647
2458021.87325,bg,12.349,0.02,44.085,0.811
2457802.77153,bg,11.951,0.02,63.62,1.171
2458095.78559,bg,11.693,0.02,80.645,1.484
2458174.61258,bg,12.296,0.02,46.307,0.852
2458144.57006,bg,12.578,0.02,35.707,0.657
2458117.72807,bg,12.611,0.02,34.624,0.637
2457761.76535,bg,11.892,0.02,67.132,1.235
2457882.53662,bg,11.855,0.02,69.495,1.279
2458220.6249,bg,12.007,0.02,60.407,1.111
2458134.61933,bg,12.269,0.02,47.465,0.873
2458076.71912,bg,12.492,0.02,38.638,0.711
2458052.76552,bg,12.411,0.02,41.638,0.766
2457421.71601,bg,12.273,0.02,47.274,0.87
2458207.62482,bg,12.033,0.02,58.986,1.085
2457830.60052,bg,12.031,0.02,59.087,1.087
2457631.89457,bg,12.408,0.02,41.761,0.768
2458223.6222,bg,12.341,0.02,44.402,0.817
2457687.75801,bg,12.561,0.02,36.257,0.667
2458123.73508,bg,11.581,0.02,89.416,1.645
2458080.73093,bg,12.349,0.02,44.069,0.811
2458222.62306,bg,12.248,0.02,48.386,0.89
2458097.83926,bg,11.845,0.02,70.133,1.29
