hjd,camera,mag,mag_err,flux,flux_err
2457358.91887,bc,11.918,0.02,65.582,1.207
2457047.80469,bd,11.982,0.02,64.141,1.18
2457992.08099,bd,12.253,0.02,49.96,0.919
2457436.777,bd,12.383,0.02,44.34,0.816
2457415.77547,bd,12.016,0.02,62.188,1.144
2457316.98572,bd,12.204,0.02,52.279,0.962
2457638.07458,bd,12.082,0.02,58.499,1.076
2457413.82002,bc,12.515,0.02,37.843,0.696
2457617.09,bd,12.464,0.02,41.138,0.757
2457230.10894,bd,12.038,0.02,60.9,1.121
2457234.09804,bd,12.518,0.02,39.134,0.72
2457794.8125,bd,12.118,0.02,56.606,1.042
2457052.77519,bc,12.421,0.02,41.261,0.759
2457316.85538,bc,12.212,0.02,50.012,0.92
2457009.88159,bd,12.179,0.02,53.483,0.984
2457403.75609,bd,12.35,0.02,45.712,0.841
2457948.11236,bc,11.954,0.02,63.456,1.168
2457960.09528,bc,12.32,0.02,45.287,0.833
2457744.92358,bc,11.984,0.02,61.684,1.135
2458116.76476,bd,12.541,0.02,38.324,0.705
2457705.946,bd,12.263,0.02,49.533,0.911
2457790.7479,bc,12.387,0.02,42.583,0.784
2457590.09214,bc,11.987,0.02,61.528,1.132
2458447.97452,bd,12.063,0.02,59.519,1.095
2457037.83265,bd,12.524,0.02,38.947,0.717
2457672.87349,bc,12.178,0.02,51.603,0.95
2458014.11371,bd,12.065,0.02,59.409,1.093
2457078.7278,bc,12.48,0.02,39.059,0.719
2458005.02517,bd,11.972,0.02,64.723,1.191
2457395.87445,bc,12.349,0.02,44.083,0.811
2458026.98159,bc,12.505,0.02,38.197,0.703
2457781.79952,bc,12.493,0.02,38.613,0.71
2457786.79832,bc,12.157,0.02,52.627,0.968
2457343.97817,bd,12.043,0.02,60.652,1.116
2457040.81921,bd,12.075,0.02,58.858,1.083
2458378.95913,bc,12.545,0.02,36.8,0.677
2458118.90024,bc,12.054,0.02,57.846,1.064
2458412.8533,bc,12.225,0.02,49.444,0.91
2457299.00701,bc,12.509,0.02,38.048,0.7
2457767.87484,bd,11.963,0.02,65.252,1.201
2457439.72763,bc,12.16,0.02,52.471,0.965
2457329.02786,bc,12.178,0.02,51.595,0.949
2457038.83839,bc,12.2,0.02,50.583,0.931
2458060.92487,bd,12.333,0.02,46.401,0.854
2457976.07416,bd,12.289,0.02,48.33,0.889
2457043.7972,bc,12.285,0.02,46.782,0.861
2457744.9545,bd,12.038,0.02,60.904,1.121
2458022.94954,bd,12.042,0.02,60.698,1.117
